10:32:57:301 [ALWAYS]	GUDE Logging Started
10:32:57:301 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:32:57:301 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:32:57:301 [ERROR]	Initialize resume cache pointer failure
10:32:57:302 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:32:57:302 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:33:03:529 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:33:03:529 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:33:03:529 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:33:03:529 [ERROR]	Initialize resume cache pointer failure
10:33:03:529 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:33:03:529 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
